59,635,1
59,1439,1
95,112,1
95,198,1
95,342,1
95,373,3
95,736,7
95,809,1
95,1068,1
95,1241,1
112,373,1
112,1068,2
112,1315,1
112,1439,2
149,258,2
149,373,1
149,938,2
149,1111,2
150,198,1
150,490,1
150,681,1
150,789,1
150,812,1
150,924,1
150,1126,1
150,1232,1
198,215,3
198,258,2
198,262,1
198,373,3
198,736,1
198,809,3
198,812,1
198,924,1
198,1068,3
198,1126,1
198,1315,1
198,1350,2
198,1423,1
198,1439,1
200,351,1
200,681,1
200,746,1
200,789,1
200,812,1
200,938,1
200,965,1
200,1439,1
215,373,1
215,1014,1
215,1068,1
215,1350,2
215,1406,1
215,1439,1
215,1442,1
244,262,1
244,833,1
244,1014,2
244,1241,2
244,1315,2
244,1325,1
258,938,1
258,1008,1
258,1111,2
258,1439,1
262,342,2
262,599,1
262,809,1
262,1120,2
262,1149,1
262,1290,1
262,1315,4
262,1423,1
289,710,1
289,924,2
289,1118,1
289,1322,1
342,599,1
342,710,1
342,736,1
342,1014,1
342,1111,1
342,1290,1
342,1315,1
342,1423,2
348,1218,1
348,1232,2
348,1290,1
348,1423,1
351,435,1
351,681,1
351,776,1
351,789,1
351,812,1
351,829,1
351,1030,1
351,1290,1
351,1366,1
351,1439,2
373,736,2
373,776,1
373,809,1
373,1312,1
373,1439,1
435,599,1
435,681,1
435,1164,1
435,1315,1
435,1439,1
448,812,1
448,938,1
479,1033,1
479,1312,1
572,1033,2
599,912,2
599,1014,1
599,1115,1
599,1149,1
599,1423,2
605,606,7
605,609,6
605,912,3
606,609,7
606,912,4
609,912,4
659,1439,1
681,776,2
681,1030,1
681,1060,1
681,1118,1
681,1121,1
681,1223,1
681,1379,1
702,1232,1
702,1315,2
710,924,3
710,1068,1
710,1118,1
710,1315,1
710,1322,2
710,1439,1
736,809,1
736,1149,1
746,1111,1
776,789,1
776,833,1
776,1030,2
776,1312,1
789,1134,1
789,1144,1
789,1164,1
809,812,1
809,1315,1
809,1406,1
812,833,1
812,1322,1
812,1406,1
812,1439,1
818,1115,7
829,884,2
829,1033,1
829,1439,1
833,1014,1
833,1322,1
833,1325,1
833,1366,1
884,924,1
884,1318,2
924,1118,1
924,1318,1
924,1322,1
924,1439,1
938,965,2
938,1068,1
938,1111,2
938,1313,1
938,1315,1
965,1439,1
965,1442,1
1008,1439,1
1014,1423,1
1027,1030,1
1027,1033,1
1033,1115,1
1068,1126,1
1068,1241,1
1068,1318,1
1068,1406,2
1068,1439,1
1118,1322,2
1118,1366,2
1120,1121,1
1120,1379,1
1121,1232,1
1126,1313,1
1126,1318,1
1128,1218,1
1134,1144,1
1134,1164,1
1134,1406,1
1144,1164,1
1149,1315,1
1149,1406,1
1164,1439,1
1223,1322,1
1241,1325,1
1241,1350,1
1241,1423,1
1257,1312,1
1290,1423,1
1300,1423,2
1313,1315,2
1313,1423,1
1315,1350,1
1318,1406,2
1322,1366,3
1325,1406,1
1342,1343,1
1343,1423,1
1350,1423,1
1406,1439,2
1439,1442,6
